"StromalScore"	"ImmuneScore"	"ESTIMATEScore"	"TumorPurity"
"MB.0497"	800.455902802942	1415.3214759131	2215.77737871604	0.597643486102135
"MB.0434"	-51.5696382939607	459.134555780945	407.564917486984	0.78703215899977
"MB.0143"	571.392212168901	895.836843003854	1467.22905517276	0.681958384124402
"MB.0513"	381.456411827318	626.473512580044	1007.92992440736	0.729681949577581
"MB.0541"	721.092749942536	1545.22578328575	2266.31853322829	0.59167893777145
"MB.0653"	258.595225409686	1229.57737299547	1488.17259840516	0.679706672272619
"MB.0455"	792.314564345736	2449.14278570702	3241.45735005275	0.470626582489691
"MB.0540"	589.182962837986	3083.85895899233	3673.04192183032	0.413822685527921
"MB.0384"	938.343850177665	1170.56208547244	2108.9059356501	0.61014706396889
"MB.0637"	657.744779633584	1687.57640189998	2345.32118153357	0.582290430189511
"MB.0157"	1389.27113974209	2099.40615910081	3488.6772988429	0.438304779237515
"MB.0443"	1074.91172392811	2539.37668954545	3614.28841347356	0.421658425115861
"MB.0584"	543.674990612985	1731.29322046031	2274.9682110733	0.590654884659759
"MB.0292"	752.135803091345	826.885518659939	1579.02132175128	0.669865119864479
"MB.0322"	475.392891762354	874.679891872773	1350.07278363513	0.694434787921658
"MB.0501"	712.156028711758	928.471316850198	1640.62734556196	0.66312351295313
"MB.0401"	1190.73523086482	1302.69184318043	2493.42707404525	0.564479833583183
"MB.0140"	612.399277480706	816.9057601514	1429.30503763211	0.686019307985174
"MB.0606"	437.006238883821	1039.27639036351	1476.28262924733	0.68098579309598
"MB.0666"	370.619375507635	1169.66346559306	1540.28284110069	0.67407629144365
"MB.0598"	951.317741511612	1456.22778268098	2407.5455241926	0.574840630418669
"MB.0453"	834.379994524757	902.287197689167	1736.66719221392	0.652505822698662
"MB.0138"	1045.13231508091	834.178996471435	1879.31131155234	0.636497095441982
"MB.0579"	1002.89132877516	818.241559488611	1821.13288826377	0.643060465593458
"MB.0471"	-706.09789030467	193.814665433341	-512.283224871328	0.862913230230882
"MB.0619"	915.447823182337	1981.57852411293	2897.02634729527	0.514615595711754
"MB.0171"	1235.18572357244	1396.5976504038	2631.78337397623	0.547600494708033
"MB.0310"	1260.70801737683	2015.97536859676	3276.68338597359	0.466057969881236
"MB.0621"	1090.27022241567	1207.71922171449	2297.98944413016	0.587924718536511
"MB.0614"	1096.26278002116	2301.70263930948	3397.96541933064	0.450233849802989
"MB.0372"	429.534046432491	1489.25076683422	1918.78481326672	0.632017450225229
"MB.0374"	1103.30666575499	1070.93718070677	2174.24384646175	0.602520403663439
